2018-11-06 16:53:36.816| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  Connection id - 10
2018-11-06 16:53:36.816| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  End Time - 2018-11-06 16:53:36
2018-11-06 16:53:36.816| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  SQL - select count(y), x from amit group by x;
2018-11-06 16:53:36.816| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  ResultSet Num Of Rows - 3
2018-11-06 16:53:36.816| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  Processed Num Of Rows - 90
2018-11-06 16:53:36.816| on thread[140447603222272 c10s17]| IP[192.168.0.244:5005]| master| 192.168.0.244| sqream| (stmt : 17) | sqream|  Success
2018-11-06 16:53:40.998| on thread[140447603222272 c13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  Connection id - 13
2018-11-06 16:53:40.998| on thread[140447603222272 c13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  Start Time - 2018-11-06 16:53:40
2018-11-06 16:53:40.998| on thread[140447603222272 c13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  Statement create table tati (a varchar(10), b int);
2018-11-06 16:53:41.5| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18)| sqream|  Connection id - 13 - Executing - create table tati (a varchar(10), b int);
2018-11-06 16:53:41.116| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  Connection id - 13
2018-11-06 16:53:41.116| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  End Time - 2018-11-06 16:53:41
2018-11-06 16:53:41.116| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  SQL - create table tati (a varchar(10), b int);
2018-11-06 16:53:41.116| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 18) | sqream|  Success
2018-11-06 16:53:51.398| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  Connection id - 13
2018-11-06 16:53:51.398| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  Start Time - 2018-11-06 16:53:51
2018-11-06 16:53:51.398| on thread[140447603222272 c13s18]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  Statement insert into tati values (1,1);
2018-11-06 16:53:51.447| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19)| sqream|  Connection id - 13 - Executing - insert into tati values (1,1);
2018-11-06 16:53:51.517| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  Connection id - 13
2018-11-06 16:53:51.517| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  End Time - 2018-11-06 16:53:51
2018-11-06 16:53:51.517| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  SQL - insert into tati values (1,1);
2018-11-06 16:53:51.517| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  ResultSet Num Of Rows - 4
2018-11-06 16:53:51.517| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  Processed Num Of Rows - 11
2018-11-06 16:53:51.517| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 19) | sqream|  Success
2018-11-06 16:53:55.398| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 21) | sqream|  Connection id - 13
2018-11-06 16:53:55.398| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 21) | sqream|  Start Time - 2018-11-06 16:53:55
2018-11-06 16:53:55.398| on thread[140447603222272 c13s19]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 21) | sqream|  Statement insert into tati values ('1','1');
